t,count,p,min_prone_overlap,min_n_flights,min_util,int1,int2,int3,int4,n_potential_conflics,E[n_conflicts],total_remaining_conflicts,disruption_occured,recovered,value,prev_action,folder
8,154,0.57,0.0,0,0.0,0.0,0.0,0.0,0.0,1.7543859649122808,1.0,1,1,0.0,-4.999879156533888,"('none', 'none', 'none')",TRAIN2
9,77,0.57,0,1,0.1388888888888889,0,0.19444444444444445,0.0,0,0.0,0,0,1,1.0,0,"('swap', '8', '#4')",TRAIN2
1,5998,0.55,0.0,2,0.35294117647058826,0.0,0.8235294117647058,0.0,0.0,1.0,0.55,0,0,0.0,-4.810352916645248,"('swap', '5', '#4')",TRAIN16
2,1667,0.55,0,1,0.34375,0,0.375,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '13', '#5')",TRAIN16
1,5998,0.53,120.0,2,0.23529411764705882,240.0,0.47058823529411764,56.470588235294116,190.8,3.0,1.59,0,0,0.0,-140.55089473812268,"('swap', '3', '#3')",TRAIN12
2,5998,0.53,60.0,1,0.109375,60.0,0.109375,6.5625,95.4,3.0,1.59,0,0,0.0,-75.75885908729079,"('swap', '17', '#6')",TRAIN12
3,5998,0.53,0.0,2,0.13333333333333333,0.0,0.26666666666666666,0.0,0.0,2.0,1.06,0,0,0.0,-5.7842869435037665,"('swap', '12', '#2')",TRAIN12
4,1414,0.53,0,2,0.07142857142857142,0,0.14285714285714285,0.0,0.0,0.0,0.0,0,0,0.0,-0.0,"('none', 'none', 'none')",TRAIN12
1,5918,0.53,0.0,1,0.3382352941176471,0.0,0.3382352941176471,0.0,0.0,1.0,0.53,0,0,0.0,-2.492113859435037,"('swap', '7', '#5')",TRAIN9
2,5918,0.53,0.0,1,0.296875,0.0,0.296875,0.0,0.0,1.0,0.53,0,0,0.0,-2.5217739972289603,"('none', 'none', 'none')",TRAIN9
3,5918,0.53,0.0,1,0.25,0.0,0.25,0.0,0.0,1.0,0.53,0,0,0.0,-2.612077652838175,"('none', 'none', 'none')",TRAIN9
4,5918,0.53,0.0,1,0.19642857142857142,0.0,0.19642857142857142,0.0,0.0,1.0,0.53,0,0,0.0,-2.805269242553552,"('none', 'none', 'none')",TRAIN9
5,5918,0.53,0.0,1,0.1346153846153846,0.0,0.1346153846153846,0.0,0.0,1.0,0.53,0,0,0.0,-3.105163100292473,"('none', 'none', 'none')",TRAIN9
6,5918,0.53,0.0,1,0.10416666666666667,0.0,0.10416666666666667,0.0,0.0,1.0,0.53,0,0,0.0,-3.624502393518357,"('none', 'none', 'none')",TRAIN9
7,975,0.53,0,1,0.3181818181818182,0,0.45454545454545453,0.0,0,0.0,0,0,1,1.0,0,"('swap', '24', '#2')",TRAIN9
1,5998,0.68,60.0,1,0.22058823529411764,60.0,0.22058823529411764,13.235294117647058,81.60000000000001,2.0,1.36,0,0,0.0,-81.72912878659241,"('swap', '17', '#4')",TRAIN10
2,5968,0.68,60.0,1,0.234375,60.0,0.234375,14.0625,81.60000000000001,2.0,1.36,0,0,0.0,-81.577543132625,"('none', 'none', 'none')",TRAIN10
